,ru_name,en_name,year,rating,ratings_number,length
0,Агент паранойи,Mousou dairinin,2004,7.442,6165,25
1,Истинная грусть,Perfect Blue,1998,7.799,30946,81
2,Паприка,Paprika,2006,7.688,45712,90
3,Гравити Фолз,Gravity Falls,2016,8.96,600374,22
4,Навсикая из долины ветров,Kaze no tani no Naushika,1984,8.18,83789,117
5,Хоббит: Битва пяти воинств,The Hobbit: The Battle of the Five Armies,2014,7.894,401043,144
6,Шоу Трумана,The Truman Show,1998,8.28,560049,103
7,Ведьмина служба доставки,Majo no takkyûbin,1989,8.137,120607,103
8,Матрица,The Matrix,1999,8.497,721193,136
9,...А зори здесь тихие, ,1972,8.544,269036,160
10,Леон,Léon,1994,8.673,729114,133
11,Ходячий замок,Howl no Ugoku Shiro,2004,8.346,447145,119
12,Иван Васильевич меняет профессию, ,1973,8.787,1037877,88
13,Криминальное чтиво,Pulp Fiction,1994,8.65,768239,154
14,Королевство,Riget,2022,7.456,7385,561
15,Теория большого взрыва,The Big Bang Theory,2019,8.625,459356,22
16,Клиника,Scrubs,2010,8.731,282960,22
17,Доктор Хаус,"House, M.D.",2012,8.795,495489,43
18,Шерлок,Sherlock,2017,8.857,626852,90
19,Ганнибал,Hannibal,2015,8.05,172012,43
20,Молчание ягнят,The Silence of the Lambs,1990,8.335,520776,118
21,Видео Бенни,Benny's Video,1992,7.104,4430,110
22,Лестница Иакова,Jacob's Ladder,1990,7.531,32836,113
23,Забавные игры,Funny Games,1997,7.325,24119,108
24,Заводной апельсин,A Clockwork Orange,1971,7.901,167249,137
25,Американский психопат,American Psycho,2000,7.152,203228,102
26,Машинист,The Machinist,2003,7.574,121732,97
27,Бойцовский клуб,Fight Club,1999,8.668,993717,139
28,Остров проклятых,Shutter Island,2009,8.525,937766,138
29,Форрест Гамп,Forrest Gump,1994,8.921,891341,142
30,Зеленая миля,The Green Mile,1999,9.075,968808,189
31,Бегущий по лезвию,Blade Runner,1982,7.73,196285,117
32,Таксист,Taxi Driver,1976,7.763,181588,114
33,Психо,Psycho,1960,8.077,131858,109
34,Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,2004,8.23,665114,142
35,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,8.663,586218,201
36,Убить Билла,Kill Bill: Vol. 1,2003,7.69,303547,111
37,Груз 200, ,2007,6.711,285493,90
38,Платформа,El hoyo,2019,7.112,226029,94
39,"Весна, лето, осень, зима... и снова весна",Bom yeoreum gaeul gyeoul geurigo bom,2003,7.935,66119,103
40,Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,8.611,657066,178
41,Шрэк,Shrek,2001,8.169,813589,90
42,Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,2001,8.274,975892,152
43,Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,2002,8.607,573139,179
44,Драйв,Drive,2011,7.259,552378,100
45,Исчезнувшая,Gone Girl,2014,7.96,601584,149
46,Реквием по мечте,Requiem for a Dream,2000,8.0,370270,102
47,В поисках Немо,Finding Nemo,2003,7.938,357980,101
48,Рататуй,Ratatouille,2007,8.048,763725,111
49,Начало,Inception,2010,8.665,968288,148
50,Головоломка,Inside Out,2015,8.075,610257,95
51,ВАЛЛ·И,WALL·E,2008,8.364,680100,98
52,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,7.938,503297,100
53,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,8.513,596729,125
54,Малхолланд Драйв,Mulholland Dr.,2001,7.667,157824,147
55,Солнцестояние,Midsommar,2019,6.434,288452,148
56,"Дом, который построил Джек",The House That Jack Built,2018,7.015,225227,152
57,Меланхолия,Melancholia,2011,7.032,115256,130
58,Пи,Pi,1997,7.511,41198,84
59,Седьмая печать,Det sjunde inseglet,1957,8.068,38830,96
60,Антихрист,Antichrist,2009,6.644,65081,108
61,Неоновый демон,The Neon Demon,2016,6.126,122962,117
62,Олдбой,Oldeuboi,2003,8.072,218539,120
63,Догвилль,Dogville,2003,7.989,177687,178
64,Стрингер,Nightcrawler,2013,7.361,207261,118
65,Донни Дарко,Donnie Darko,2001,7.603,176189,113
66,Господин Никто,Mr. Nobody,2009,7.915,301493,138
